title,type,grade,subject,content_link,chapter_slug
Atoms and molecules,Video,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/894,9-Matter
Matter,Video,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2573,9-Matter
The periodic table,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/hs-chemistry/x2613d8165d88df5e:atoms-elements-and-the-periodic-table/x2613d8165d88df5e:the-periodic-table/v/periodic-table-introduction,9-Matter
Apply: The periodic table,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/hs-chemistry/x2613d8165d88df5e:atoms-elements-and-the-periodic-table/x2613d8165d88df5e:the-periodic-table/e/apply-the-periodic-table,9-Matter
Periodic Table of Elements ,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/humanities/big-history-project/stars-and-elements/knowing-stars-elements/v/bhp-periodic-table-crashcourse,9-Matter
Intro to chemical reactions,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/in-in-class-10-chemistry-india/x87dd2847d57ee419:in-in-chemical-reactions-and-equations/x87dd2847d57ee419:in-in-intro-to-chemical-reactions-equations/v/intro-to-chemical-reactions-chemical-equation-and-reactions-chemistry-khan-academy,9-Matter
Radioactivity,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/20.7/primary/lesson/radioactivity-phys/,14-Classification of Elements
Intro to chemical reactions,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/in-in-class-10-chemistry-india/x87dd2847d57ee419:in-in-chemical-reactions-and-equations/x87dd2847d57ee419:in-in-intro-to-chemical-reactions-equations/v/intro-to-chemical-reactions-chemical-equation-and-reactions-chemistry-khan-academy,14-Classification of Elements
The periodic table,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/hs-chemistry/x2613d8165d88df5e:atoms-elements-and-the-periodic-table/x2613d8165d88df5e:the-periodic-table/v/periodic-table-introduction,14-Classification of Elements
Determine valence electrons using the periodic table,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/hs-chemistry/x2613d8165d88df5e:atoms-elements-and-the-periodic-table/x2613d8165d88df5e:the-periodic-table/a/determine-valence-electrons-using-the-periodic-table,14-Classification of Elements
Balancing chemical equation,interactive,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://phet.colorado.edu/sims/html/balancing-chemical-equations/latest/balancing-chemical-equations_en.html,14-Classification of Elements
Chemical reaction,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2477,14-Classification of Elements
Balancing equation,document,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/11.3/primary/lesson/balancing-equations-chem/,14-Classification of Elements
Ozone depletion,Video,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/ap-college-environmental-science/x0b0e430a38ebd23f:global-change/x0b0e430a38ebd23f:ozone/v/stratospheric-ozone-depletion,15-Chemical reaction
Carbondioxide and its occurance,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2478,15-Chemical reaction
Uses of carbondioxide,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2480,15-Chemical reaction
Ammonia,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2480,15-Chemical reaction
